179,97,5078
157,37,3136
181,61,7623
79,191,8169
113,107,3540
11,59,212
139,149,4034
19,5,23
109,41,10
67,47,354
101,113,7069
181,47,232
193,97,16119
109,73,7709
61,29,5
113,197,6344
71,113,4899
127,131,11162
181,101,14908
191,173,17610
31,23,631
17,61,121
17,29,216
137,37,155
191,17,370
109,101,869
191,59,10169
101,71,6532
67,7,321
41,113,4251
41,97,1546
79,17,977
59,11,41
139,193,12500
83,43,2467
3,179,337
13,157,298
149,43,4235
53,191,2593
139,157,1566
7,23,126
167,43,1024
163,191,30668
167,151,890
179,139,22084
17,179,2878
139,29,112
13,157,1362
59,131,2474
67,41,2104
61,23,1252
197,103,5340
71,17,198
3,37,103
191,103,14566
19,41,117
173,97,13507
61,67,2946
73,199,6770
59,17,932
71,7,419
127,97,6932
37,179,5753
101,139,3344
19,59,394
109,17,1722
89,149,4315
43,23,505
67,149,667
61,163,9418
61,37,919
127,71,6538
37,67,2057
127,167,14999
191,137,25322
97,179,16163
139,41,4463
107,127,9003
31,53,476
23,13,40
41,67,1060
3,79,69
113,173,1000
43,19,238
19,167,663
137,13,710
113,173,3375
83,17,267
197,67,3174
59,103,4356
23,181,695
151,23,1160
5,71,190
13,137,1512
67,127,5687
83,43,1165
163,67,1215
37,61,433
29,13,277
131,163,8056
109,3,55
7,67,111
109,7,466
181,179,29195
197,199,29617
193,73,7223
173,43,6682
29,71,934
163,137,4016
3,83,93
3,167,369
3,107,125
157,179,9475
73,151,4761
181,73,6853
41,23,481
61,73,1126
101,79,3512
43,89,552
43,101,2702
97,47,1855
73,107,5710
71,83,216
151,53,5369
199,37,6759
199,5,695
107,173,17081
89,29,11
37,131,1082
79,109,4478
131,5,513
71,103,5742
5,61,75
151,73,4241
23,131,693
73,5,17
173,47,1728
61,109,6184
127,137,11610
101,17,1217
19,83,462
173,157,19463
89,3,81
19,11,191
47,61,2612
59,37,857
23,41,597
59,131,4527
157,7,716
41,43,626
173,197,1000
19,37,421
109,193,12083
107,73,2916
11,83,131
47,79,3329
103,17,476
53,37,1806
157,131,19585
101,139,9776
11,17,25
11,31,80
41,173,4769
71,107,3538
101,71,7020
103,83,6887
131,101,341
59,61,2638
103,101,7357
167,157,5218
139,179,3574
139,199,23704
179,13,218
89,167,6064
167,179,16910
23,53,623
109,197,112
23,191,687
197,43,4762
53,59,2124
11,13,124
53,109,1279
193,137,22301
11,181,1220
101,47,230
67,137,8255
157,59,7994
31,3,13
113,53,433
107,11,139
97,127,11737
167,193,30499
53,41,325
199,47,7454
101,29,739
109,79,7009
83,3,211
29,167,3106
13,101,192
97,113,10882
101,3,99
97,79,1743
11,109,204
173,181,2213
83,31,1247
107,59,4950
71,59,3867
59,97,2312
89,19,721
127,53,3102
5,173,306
5,113,67
43,101,514
107,11,509
157,197,12031
17,137,522
43,199,3256
37,5,92
29,149,127
19,43,238
113,191,21292
61,151,1282
71,163,9670
179,157,24527
197,89,15235
181,43,4665
167,137,18256
181,53,5597
61,71,3907
3,137,366
197,19,2328
167,163,22058
103,179,562
17,19,113
19,127,564
71,43,1844
97,59,4437
13,73,788
53,197,6118
197,127,24943
3,103,122
79,149,9988
163,179,19005
31,11,36
107,197,343
79,101,3512
83,109,7118
59,101,2530
163,3,410
79,193,7943
163,11,650
43,179,7226
5,23,41
149,97,4636
167,43,1312
61,149,5844
109,181,4846
181,59,6054
67,37,1489
199,7,617
5,113,482
193,11,1654
191,59,2197
83,11,229
181,109,7157
127,173,9003
